sample_id,whisper_word_position,token_piece_position,whisper_token,start_time_wav_s,end_time_wav_s,start_time_source_s,end_time_source_s,duration_s,probability,automatic_flags
-UuX1xuaiiE$_$1,6,1,really,1.32,1.58,1.32,1.58,0.26,0.9700276255607605,
-UuX1xuaiiE$_$1,7,1,being,1.58,1.84,1.58,1.84,0.26,0.9601990580558777,
-UuX1xuaiiE$_$1,8,1,able,1.84,2.66,1.84,2.66,0.8200000000000001,0.9870452284812927,
-UuX1xuaiiE$_$1,9,1,to,2.66,2.9,2.66,2.9,0.23999999999999977,0.99861741065979,
-UuX1xuaiiE$_$1,10,1,explore,2.9,3.5,2.9,3.5,0.6000000000000001,0.9970583915710449,
-UuX1xuaiiE$_$1,11,1,these,3.5,4.22,3.5,4.22,0.7199999999999998,0.9842386841773987,
-UuX1xuaiiE$_$1,12,1,different,4.22,4.74,4.22,4.74,0.5200000000000005,0.9949643611907959,
-UuX1xuaiiE$_$1,13,1,areas,4.74,5.12,4.74,5.12,0.3799999999999999,0.997865617275238,
-UuX1xuaiiE$_$1,14,1,in,5.12,5.64,5.12,5.64,0.5199999999999996,0.9559682607650757,
-UuX1xuaiiE$_$1,15,1,depth,5.64,6.24,5.64,6.24,0.6000000000000005,0.705691397190094,
-UuX1xuaiiE$_$1,16,1,in,6.24,6.62,6.24,6.62,0.3799999999999999,0.8608358502388,
-UuX1xuaiiE$_$1,17,1,a,6.62,6.74,6.62,6.74,0.1200000000000001,0.9952880144119263,
-UuX1xuaiiE$_$1,18,1,way,6.74,6.92,6.74,6.92,0.17999999999999972,0.9987745881080627,
-UuX1xuaiiE$_$1,19,1,that,6.92,7.2,6.92,7.2,0.28000000000000025,0.9973681569099426,
-UuX1xuaiiE$_$1,20,1,really,7.2,7.46,7.2,7.46,0.2599999999999998,0.9333896636962891,
-UuX1xuaiiE$_$1,21,1,wasn't,7.46,7.78,7.46,7.78,0.3200000000000003,0.9942944347858429,
-UuX1xuaiiE$_$1,22,1,available,7.78,8.12,7.78,8.12,0.33999999999999897,0.9952055215835571,
-UuX1xuaiiE$_$1,23,1,before,8.12,8.62,8.12,8.62,0.5,0.9983600974082947,
-UuX1xuaiiE$_$1,24,1,the,8.62,8.8,8.62,8.8,0.1800000000000015,0.9949076771736145,
-UuX1xuaiiE$_$1,25,1,center,8.8,9.04,8.8,9.04,0.23999999999999844,0.677643895149231,
-UuX1xuaiiE$_$1,26,1,was,9.04,9.34,9.04,9.34,0.3000000000000007,0.9959208965301514,
-UuX1xuaiiE$_$1,27,1,here,9.34,9.7,9.34,9.7,0.35999999999999943,0.9986962676048279,
-UuX1xuaiiE$_$0,1,1,It's,0.0,0.14,0.0,0.14,0.14,0.7767113447189331,
-UuX1xuaiiE$_$0,2,1,amazing,0.14,0.54,0.14,0.54,0.4,0.9933158755302429,
-UuX1xuaiiE$_$0,3,1,to,0.54,1.0,0.54,1.0,0.45999999999999996,0.9967688322067261,
-UuX1xuaiiE$_$0,4,1,see,1.0,1.24,1.0,1.24,0.24,0.9983463287353516,
-UuX1xuaiiE$_$0,5,1,their,1.24,1.46,1.24,1.46,0.21999999999999997,0.9946925044059753,
-UuX1xuaiiE$_$0,6,1,enthusiasm,1.46,2.0,1.46,2.0,0.54,0.9981315732002258,
-UuX1xuaiiE$_$0,7,1,and,2.0,2.4,2.0,2.4,0.3999999999999999,0.9830427765846252,
-UuX1xuaiiE$_$0,8,1,their,2.4,2.52,2.4,2.52,0.1200000000000001,0.9837026596069336,
-UuX1xuaiiE$_$0,9,1,passion,2.52,2.94,2.52,2.94,0.41999999999999993,0.9856905341148376,
-UuX1xuaiiE$_$3,1,1,My,0.0,0.64,0.0,0.64,0.64,0.5187836289405823,
-UuX1xuaiiE$_$3,2,1,goal,0.64,0.9,0.64,0.9,0.26,0.9955464601516724,
-UuX1xuaiiE$_$3,3,1,is,0.9,1.32,0.9,1.32,0.42000000000000004,0.9939642548561096,
-UuX1xuaiiE$_$3,4,1,to,1.32,1.62,1.32,1.62,0.30000000000000004,0.9961504936218262,
-UuX1xuaiiE$_$3,5,1,become,1.62,2.0,1.62,2.0,0.3799999999999999,0.9922659993171692,
-UuX1xuaiiE$_$3,6,1,a,2.0,2.66,2.0,2.66,0.6600000000000001,0.9969910383224487,
-UuX1xuaiiE$_$3,7,1,human,2.66,2.82,2.66,2.82,0.1599999999999997,0.9622267484664917,
-UuX1xuaiiE$_$3,8,1,rights,2.82,3.14,2.82,3.14,0.3200000000000003,0.9816442131996155,
-UuX1xuaiiE$_$3,9,1,lawyer,3.14,3.52,3.14,3.52,0.3799999999999999,0.995281994342804,
-UuX1xuaiiE$_$6,1,1,I,0.0,0.62,0.0,0.62,0.62,0.8849377632141113,
-UuX1xuaiiE$_$6,2,1,ended,0.62,0.76,0.62,0.76,0.14,0.9876305460929871,
-UuX1xuaiiE$_$6,3,1,up,0.76,0.92,0.76,0.92,0.16000000000000003,0.9938347339630127,
-UuX1xuaiiE$_$6,4,1,going,0.92,1.06,0.92,1.06,0.14,0.9930207133293152,
-UuX1xuaiiE$_$6,5,1,to,1.06,1.24,1.06,1.24,0.17999999999999994,0.9931939840316772,
-UuX1xuaiiE$_$6,6,1,work,1.24,1.4,1.24,1.4,0.15999999999999992,0.9972647428512573,
-UuX1xuaiiE$_$6,7,1,for,1.4,1.78,1.4,1.78,0.3800000000000001,0.990712583065033,
-UuX1xuaiiE$_$6,8,1,the,1.78,1.94,1.78,1.94,0.15999999999999992,0.9952524900436401,
-UuX1xuaiiE$_$6,9,1,U,1.94,2.04,1.94,2.04,0.10000000000000009,0.5347975492477417,
-UuX1xuaiiE$_$6,10,1,S,2.04,2.2,2.04,2.2,0.16000000000000014,0.9888890087604523,
-UuX1xuaiiE$_$6,11,1,government,2.38,2.52,2.38,2.52,0.14000000000000012,0.764135479927063,
-UuX1xuaiiE$_$6,12,1,as,2.52,2.92,2.52,2.92,0.3999999999999999,0.9671818614006042,
-UuX1xuaiiE$_$6,13,1,an,2.92,3.08,2.92,3.08,0.16000000000000014,0.9751185178756714,
-UuX1xuaiiE$_$6,14,1,intelligence,3.08,3.4,3.08,3.4,0.31999999999999984,0.9652872681617737,
-UuX1xuaiiE$_$6,15,1,analyst,3.4,4.04,3.4,4.04,0.6400000000000001,0.9988464117050171,
-UuX1xuaiiE$_$6,16,1,specializing,4.6,5.44,4.6,5.44,0.8400000000000007,0.9772650599479675,
-UuX1xuaiiE$_$6,17,1,in,5.44,5.84,5.44,5.84,0.39999999999999947,0.997680127620697,
-UuX1xuaiiE$_$6,18,1,war,5.84,6.06,5.84,6.06,0.21999999999999975,0.9810996651649475,
-UuX1xuaiiE$_$6,19,1,crimes,6.06,6.34,6.06,6.34,0.28000000000000025,0.9941927790641785,
-UuX1xuaiiE$_$6,20,1,and,6.34,6.5,6.34,6.5,0.16000000000000014,0.9900009632110596,
-UuX1xuaiiE$_$6,21,1,human,6.5,6.62,6.5,6.62,0.1200000000000001,0.99679034948349,
-UuX1xuaiiE$_$6,22,1,rights,6.62,6.86,6.62,6.86,0.2400000000000002,0.9892618656158447,
-UuX1xuaiiE$_$6,23,1,issues,6.86,7.2,6.86,7.2,0.33999999999999986,0.995909571647644,
-a55Q6RWvTA$_$3,1,1,And,0.0,0.84,0.0,0.84,0.84,0.3996802866458893,
-a55Q6RWvTA$_$3,2,1,if,0.84,1.14,0.84,1.14,0.29999999999999993,0.5783118605613708,
-a55Q6RWvTA$_$3,3,1,you,1.14,1.34,1.14,1.34,0.20000000000000018,0.9984138011932373,
-a55Q6RWvTA$_$3,4,1,clip,1.34,1.68,1.34,1.68,0.33999999999999986,0.9692965149879456,
-a55Q6RWvTA$_$3,5,1,coupons,1.68,2.22,1.68,2.22,0.5400000000000003,0.9850081205368042,
-a55Q6RWvTA$_$3,6,1,if,2.74,2.78,2.74,2.78,0.03999999999999959,0.9731130599975586,
-a55Q6RWvTA$_$3,7,1,you,2.78,2.92,2.78,2.92,0.14000000000000012,0.9976734519004822,
-a55Q6RWvTA$_$3,8,1,don't,2.92,3.24,2.92,3.24,0.3200000000000003,0.9935489594936371,
-a55Q6RWvTA$_$3,9,1,go,3.24,3.44,3.24,3.44,0.19999999999999973,0.9973006844520569,
-a55Q6RWvTA$_$3,10,1,out,3.44,3.68,3.44,3.68,0.2400000000000002,0.996203601360321,
-a55Q6RWvTA$_$3,11,1,for,3.68,3.88,3.68,3.88,0.19999999999999973,0.9960116147994995,
-a55Q6RWvTA$_$3,12,1,dinner,3.88,4.14,3.88,4.14,0.2599999999999998,0.9988960027694702,
-a55Q6RWvTA$_$3,13,1,and,4.14,4.54,4.14,4.54,0.40000000000000036,0.669916033744812,
-a55Q6RWvTA$_$3,14,1,movies,4.54,5.06,4.54,5.06,0.5199999999999996,0.9926510453224182,
-a55Q6RWvTA$_$3,15,1,and,5.06,5.32,5.06,5.32,0.2600000000000007,0.9553324580192566,
-a55Q6RWvTA$_$3,16,1,things,5.32,5.52,5.32,5.52,0.1999999999999993,0.9977450966835022,
-a55Q6RWvTA$_$3,17,1,of,5.52,5.66,5.52,5.66,0.14000000000000057,0.9743398427963257,
-a55Q6RWvTA$_$3,18,1,that,5.66,5.8,5.66,5.8,0.13999999999999968,0.9981655478477478,
-a55Q6RWvTA$_$3,19,1,nature,5.8,6.26,5.8,6.26,0.45999999999999996,0.9985338449478149,
-a55Q6RWvTA$_$3,20,1,and,6.82,7.06,6.82,7.06,0.23999999999999932,0.9277091026306152,
-a55Q6RWvTA$_$3,21,1,try,7.06,7.32,7.06,7.32,0.2600000000000007,0.9928584098815918,
-a55Q6RWvTA$_$3,22,1,to,7.32,7.46,7.32,7.46,0.13999999999999968,0.9955798983573914,
-a55Q6RWvTA$_$3,23,1,take,7.46,7.64,7.46,7.64,0.17999999999999972,0.9905412793159485,
-a55Q6RWvTA$_$3,24,1,up,7.64,7.8,7.64,7.8,0.16000000000000014,0.990276575088501,
-a55Q6RWvTA$_$3,25,1,things,7.8,8.18,7.8,8.18,0.3799999999999999,0.9914559721946716,
-a55Q6RWvTA$_$3,26,1,in,8.18,8.44,8.18,8.44,0.2599999999999998,0.9874027967453003,
-a55Q6RWvTA$_$3,27,1,life,8.44,8.76,8.44,8.76,0.3200000000000003,0.9984517097473145,
-a55Q6RWvTA$_$3,28,1,that,8.76,9.0,8.76,9.0,0.2400000000000002,0.9538617134094238,
-a55Q6RWvTA$_$3,29,1,well,9.06,9.28,9.06,9.28,0.21999999999999886,0.9935723543167114,
-a55Q6RWvTA$_$3,30,1,they,9.5,9.58,9.5,9.58,0.08000000000000007,0.9952709078788757,
-a55Q6RWvTA$_$3,31,1,always,9.58,9.86,9.58,9.86,0.27999999999999936,0.9982359409332275,
-a55Q6RWvTA$_$3,32,1,say,9.86,10.14,9.86,10.14,0.28000000000000114,0.9981335997581482,
-a55Q6RWvTA$_$3,33,1,the,10.22,10.32,10.22,10.32,0.09999999999999964,0.8874228596687317,
-a55Q6RWvTA$_$3,34,1,best,10.32,10.5,10.32,10.5,0.17999999999999972,0.9994070529937744,
-a55Q6RWvTA$_$3,35,1,things,10.5,10.72,10.5,10.72,0.22000000000000064,0.9938026666641235,
-a55Q6RWvTA$_$3,36,1,in,10.72,10.9,10.72,10.9,0.17999999999999972,0.9957030415534973,
-a55Q6RWvTA$_$3,37,1,life,10.9,11.12,10.9,11.12,0.21999999999999886,0.9986334443092346,
-a55Q6RWvTA$_$3,38,1,are,11.12,11.32,11.12,11.32,0.20000000000000107,0.9806973934173584,
-a55Q6RWvTA$_$3,39,1,free,11.32,11.7,11.32,11.7,0.379999999999999,0.9967643022537231,
-a55Q6RWvTA$_$3,40,1,Reading,12.42,12.62,12.42,12.62,0.1999999999999993,0.9844334125518799,
-a55Q6RWvTA$_$3,41,1,a,12.62,12.86,12.62,12.86,0.2400000000000002,0.9989979863166809,
-a55Q6RWvTA$_$3,42,1,book,12.86,13.18,12.86,13.18,0.3200000000000003,0.9996659755706787,
-a55Q6RWvTA$_$3,43,1,going,13.8,14.54,13.8,14.54,0.7399999999999984,0.979328989982605,
-a55Q6RWvTA$_$3,44,1,for,14.54,14.76,14.54,14.76,0.22000000000000064,0.9982445240020752,
-a55Q6RWvTA$_$3,45,1,a,14.76,14.86,14.76,14.86,0.09999999999999964,0.9971873164176941,
-a55Q6RWvTA$_$3,46,1,nice,14.86,15.04,14.86,15.04,0.17999999999999972,0.9981653094291687,
-a55Q6RWvTA$_$3,47,1,walk,15.04,15.46,15.04,15.46,0.4200000000000017,0.999264657497406,
-a55Q6RWvTA$_$3,48,1,and,15.54,15.62,15.54,15.62,0.08000000000000007,0.9917280673980713,
-a55Q6RWvTA$_$3,49,1,of,15.62,15.68,15.62,15.68,0.0600000000000005,0.7744097113609314,
-a55Q6RWvTA$_$3,50,1,course,15.68,15.84,15.68,15.84,0.16000000000000014,0.9993966817855835,
-a55Q6RWvTA$_$3,51,1,combining,15.84,16.36,15.84,16.36,0.5199999999999996,0.7499645948410034,
-a55Q6RWvTA$_$3,52,1,exercise,16.36,17.02,16.36,17.02,0.6600000000000001,0.9938219785690308,
-a55Q6RWvTA$_$3,53,1,and,17.02,17.3,17.02,17.3,0.28000000000000114,0.9719203114509583,
-a55Q6RWvTA$_$3,54,1,various,17.3,17.54,17.3,17.54,0.23999999999999844,0.9959797859191895,
-a55Q6RWvTA$_$3,55,1,things,17.54,17.82,17.54,17.82,0.28000000000000114,0.9983391761779785,
-a55Q6RWvTA$_$3,56,1,of,17.82,17.98,17.82,17.98,0.16000000000000014,0.974080502986908,
-a55Q6RWvTA$_$3,57,1,that,17.98,18.06,17.98,18.06,0.0799999999999983,0.9958899617195129,
-a55Q6RWvTA$_$3,58,1,nature,18.06,18.5,18.06,18.5,0.4400000000000013,0.9920256733894348,
-a55Q6RWvTA$_$3,59,1,where,18.88,19.06,18.88,19.06,0.17999999999999972,0.9078869223594666,
-a55Q6RWvTA$_$3,60,1,you're,19.06,19.22,19.06,19.22,0.16000000000000014,0.9832470417022705,
-a55Q6RWvTA$_$3,61,1,not,19.22,19.4,19.22,19.4,0.17999999999999972,0.9994187355041504,
-a55Q6RWvTA$_$3,62,1,spending,19.4,19.9,19.4,19.9,0.5,0.9993341565132141,
-a55Q6RWvTA$_$3,63,1,money,19.9,20.58,19.9,20.58,0.6799999999999997,0.9988282322883606,
-a55Q6RWvTA$_$3,64,1,per,20.58,21.06,20.58,21.06,0.4800000000000004,0.9990777969360352,
-a55Q6RWvTA$_$3,65,1,se,21.06,21.46,21.06,21.46,0.40000000000000213,0.8469687700271606,
-aNfi7CP8vM$_$7,1,1,Maybe,0.0,0.68,0.0,0.68,0.68,0.5474770665168762,
-aNfi7CP8vM$_$7,2,1,they,0.68,0.9,0.68,0.9,0.21999999999999997,0.962196946144104,
-aNfi7CP8vM$_$7,3,1,have,0.9,1.04,0.9,1.04,0.14,0.9770349264144897,
-aNfi7CP8vM$_$7,4,1,no,1.04,2.06,1.04,2.06,1.02,0.6512276530265808,
-aNfi7CP8vM$_$7,5,1,political,2.06,2.44,2.06,2.44,0.3799999999999999,0.8346759080886841,
-aNfi7CP8vM$_$7,6,1,party,2.44,2.92,2.44,2.92,0.48,0.9942254424095154,
-aNfi7CP8vM$_$7,7,1,affiliation,2.92,3.56,2.92,3.56,0.6400000000000001,0.9951663017272949,
-aNfi7CP8vM$_$7,8,1,they're,4.22,4.42,4.22,4.42,0.20000000000000018,0.9540828764438629,
-aNfi7CP8vM$_$7,9,1,not,4.42,4.62,4.42,4.62,0.20000000000000018,0.9993709921836853,
-aNfi7CP8vM$_$7,10,1,interested,4.62,5.0,4.62,5.0,0.3799999999999999,0.9922547340393066,
-aNfi7CP8vM$_$7,11,1,in,5.0,5.34,5.0,5.34,0.33999999999999986,0.9983153343200684,
-aNfi7CP8vM$_$7,12,1,politics,5.34,5.64,5.34,5.64,0.2999999999999998,0.9977310299873352,
-aNfi7CP8vM$_$7,13,1,they,6.0,6.12,6.0,6.12,0.1200000000000001,0.9823656678199768,
-aNfi7CP8vM$_$7,14,1,could,6.12,6.28,6.12,6.28,0.16000000000000014,0.8453593254089355,
-aNfi7CP8vM$_$7,15,1,care,6.28,6.48,6.28,6.48,0.20000000000000018,0.9988189339637756,
-aNfi7CP8vM$_$7,16,1,less,6.48,6.76,6.48,6.76,0.27999999999999936,0.9991970658302307,
-aNfi7CP8vM$_$7,17,1,about,6.76,7.08,6.76,7.08,0.3200000000000003,0.9993952512741089,
-aNfi7CP8vM$_$7,18,1,politics,7.08,7.72,7.08,7.72,0.6399999999999997,0.9981212019920349,
-aqamKhZ1Ec$_$0,1,1,In,0.0,0.36,0.0,0.36,0.36,0.7604144811630249,
-aqamKhZ1Ec$_$0,2,1,2008,0.36,1.42,0.36,1.42,1.06,0.9796323180198669,
-aqamKhZ1Ec$_$0,3,1,there,1.92,3.0,1.92,3.0,1.08,0.9876747131347656,
-aqamKhZ1Ec$_$0,4,1,were,3.0,3.14,3.0,3.14,0.14000000000000012,0.8188649415969849,
-aqamKhZ1Ec$_$0,5,1,very,3.14,3.5,3.14,3.5,0.3599999999999999,0.9805330038070679,
-aqamKhZ1Ec$_$0,6,1,serious,3.5,4.06,3.5,4.06,0.5599999999999996,0.9968198537826538,
-aqamKhZ1Ec$_$0,7,1,tribal,4.06,4.48,4.06,4.48,0.4200000000000008,0.9861040711402893,
-aqamKhZ1Ec$_$0,8,1,warfare,4.48,5.14,4.48,5.14,0.6599999999999993,0.9956067204475403,
-aqamKhZ1Ec$_$0,9,1,in,5.14,5.6,5.14,5.6,0.45999999999999996,0.9855753183364868,
-aqamKhZ1Ec$_$0,10,1,Kenya,5.6,6.3,5.6,6.3,0.7000000000000002,0.9933607578277588,
-aqamKhZ1Ec$_$0,11,1,and,6.3,7.18,6.3,7.18,0.8799999999999999,0.28534480929374695,
-aqamKhZ1Ec$_$0,12,1,even,7.18,7.84,7.18,7.84,0.6600000000000001,0.8158186674118042,
-aqamKhZ1Ec$_$0,13,1,following,7.84,9.16,7.84,9.16,1.3200000000000003,0.22640760242938995,
-aqamKhZ1Ec$_$0,14,1,a,9.16,9.48,9.16,9.48,0.3200000000000003,0.902585506439209,
-aqamKhZ1Ec$_$0,15,1,disputed,9.48,9.82,9.48,9.82,0.33999999999999986,0.9891669750213623,
-aqamKhZ1Ec$_$0,16,1,election,9.82,10.38,9.82,10.38,0.5600000000000005,0.9824302196502686,
-dxfTGcXJoc$_$1,1,1,For,0.0,0.6,0.0,0.6,0.6,0.8124502897262573,
-dxfTGcXJoc$_$1,2,1,the,0.6,0.76,0.6,0.76,0.16000000000000003,0.9960387945175171,
-dxfTGcXJoc$_$1,3,1,tenth,0.76,0.98,0.76,0.98,0.21999999999999997,0.5999460220336914,
-dxfTGcXJoc$_$1,4,1,straight,0.98,1.36,0.98,1.36,0.3800000000000001,0.9746900796890259,
-dxfTGcXJoc$_$1,5,1,year,1.36,1.84,1.36,1.84,0.48,0.9675220847129822,
-dxfTGcXJoc$_$1,6,1,some,2.28,2.52,2.28,2.52,0.2400000000000002,0.9962001442909241,
-dxfTGcXJoc$_$1,7,1,of,2.52,2.72,2.52,2.72,0.20000000000000018,0.9962413311004639,
-dxfTGcXJoc$_$1,8,1,Kentucky's,2.72,3.28,2.72,3.28,0.5599999999999996,0.9958336353302002,
-dxfTGcXJoc$_$1,9,1,best,3.28,3.64,3.28,3.64,0.3600000000000003,0.9948169589042664,
-dxfTGcXJoc$_$1,10,1,and,3.64,4.0,3.64,4.0,0.3599999999999999,0.9905956983566284,
-dxfTGcXJoc$_$1,11,1,most,4.0,4.26,4.0,4.26,0.2599999999999998,0.9971856474876404,
-dxfTGcXJoc$_$1,12,1,innovative,4.26,4.86,4.26,4.86,0.6000000000000005,0.989368736743927,
-dxfTGcXJoc$_$1,13,1,biotech,4.86,5.28,4.86,5.28,0.41999999999999993,0.9852398633956909,
-dxfTGcXJoc$_$1,14,1,companies,5.28,5.9,5.28,5.9,0.6200000000000001,0.9974828362464905,
-dxfTGcXJoc$_$1,15,1,and,5.9,6.16,5.9,6.16,0.2599999999999998,0.9923449158668518,
-dxfTGcXJoc$_$1,16,1,technologies,6.16,6.84,6.16,6.84,0.6799999999999997,0.9930645823478699,
-dxfTGcXJoc$_$1,17,1,were,6.84,7.46,6.84,7.46,0.6200000000000001,0.9818690419197083,
-dxfTGcXJoc$_$1,18,1,on,7.46,7.76,7.46,7.76,0.2999999999999998,0.9970877766609192,
-dxfTGcXJoc$_$1,19,1,display,7.76,8.32,7.76,8.32,0.5600000000000005,0.998371422290802,
-dxfTGcXJoc$_$1,20,1,at,8.32,8.74,8.32,8.74,0.41999999999999993,0.9967648983001709,
-dxfTGcXJoc$_$1,21,1,the,8.74,8.94,8.74,8.94,0.1999999999999993,0.995392918586731,
-dxfTGcXJoc$_$1,22,1,annual,8.94,9.4,8.94,9.4,0.46000000000000085,0.9364872574806213,
-dxfTGcXJoc$_$1,23,1,Bio,9.4,9.92,9.4,9.92,0.5199999999999996,0.7866565585136414,
-dxfTGcXJoc$_$1,24,1,International,9.92,10.62,9.92,10.62,0.6999999999999993,0.5995573997497559,
-dxfTGcXJoc$_$1,25,1,Convention,10.62,11.14,10.62,11.14,0.5200000000000014,0.9161333441734314,
-dxfTGcXJoc$_$1,26,1,which,11.74,12.04,11.74,12.04,0.29999999999999893,0.9975305199623108,
-dxfTGcXJoc$_$1,27,1,I,12.04,12.44,12.04,12.44,0.40000000000000036,0.9978874325752258,
-dxfTGcXJoc$_$1,28,1,and,12.44,12.66,12.44,12.66,0.22000000000000064,0.9904864430427551,
-dxfTGcXJoc$_$1,29,1,other,12.66,12.94,12.66,12.94,0.27999999999999936,0.9950591325759888,
-dxfTGcXJoc$_$1,30,1,state,12.94,13.18,12.94,13.18,0.2400000000000002,0.9842007756233215,
-dxfTGcXJoc$_$1,31,1,officials,13.18,13.58,13.18,13.58,0.40000000000000036,0.9986031651496887,
-dxfTGcXJoc$_$1,32,1,attended,13.58,14.02,13.58,14.02,0.4399999999999995,0.99906986951828,
-dxfTGcXJoc$_$1,33,1,this,14.02,14.32,14.02,14.32,0.3000000000000007,0.9919798374176025,
-dxfTGcXJoc$_$1,34,1,week,14.32,14.6,14.32,14.6,0.27999999999999936,0.9986037611961365,
-dxfTGcXJoc$_$1,35,1,in,14.6,14.94,14.6,14.94,0.33999999999999986,0.9827864170074463,
-dxfTGcXJoc$_$1,36,1,Chicago,14.94,15.28,14.94,15.28,0.33999999999999986,0.9978814721107483,
-dxfTGcXJoc$_$0,1,1,This,0.0,0.68,0.0,0.68,0.68,0.7148575186729431,
-dxfTGcXJoc$_$0,2,1,is,0.68,0.9,0.68,0.9,0.21999999999999997,0.9918164610862732,
-dxfTGcXJoc$_$0,3,1,Governor,0.9,1.14,0.9,1.14,0.23999999999999988,0.926433801651001,
-dxfTGcXJoc$_$0,4,1,Steve,1.14,1.52,1.14,1.52,0.3800000000000001,0.9608113169670105,
-dxfTGcXJoc$_$0,5,1,Beshear,1.52,2.08,1.52,2.08,0.56,0.9780836304028829,
-dxfTGcXJoc$_$0,6,0,...,2.08,2.56,2.08,2.56,,0.947170615196228,nonlexical_punctuation_item
-dxfTGcXJoc$_$0,7,1,About,2.56,2.82,2.56,2.82,0.2599999999999998,0.9904996752738953,
-dxfTGcXJoc$_$0,8,1,Kentucky,2.82,3.4,2.82,3.4,0.5800000000000001,0.988412082195282,
-dxfTGcXJoc$_$0,9,1,Our,4.36,4.54,4.36,4.54,0.17999999999999972,0.9653156995773315,
-dxfTGcXJoc$_$0,10,1,state,4.54,4.84,4.54,4.84,0.2999999999999998,0.9637653827667236,
-dxfTGcXJoc$_$0,11,1,is,4.84,5.08,4.84,5.08,0.2400000000000002,0.9971722960472107,
-dxfTGcXJoc$_$0,12,1,home,5.08,5.36,5.08,5.36,0.28000000000000025,0.9976771473884583,
-dxfTGcXJoc$_$0,13,1,to,5.36,5.64,5.36,5.64,0.27999999999999936,0.9929694533348083,
-dxfTGcXJoc$_$0,14,1,more,5.64,5.84,5.64,5.84,0.20000000000000018,0.9951406717300415,
-dxfTGcXJoc$_$0,15,1,than,5.84,6.1,5.84,6.1,0.2599999999999998,0.9927109479904175,
-dxfTGcXJoc$_$0,16,1,1,6.1,6.32,6.1,6.32,0.22000000000000064,0.8208277225494385,
-dxfTGcXJoc$_$0,17,1,500,6.32,6.8,6.32,6.8,0.47999999999999954,0.9959996044635773,
-dxfTGcXJoc$_$0,18,1,bioscience,6.8,8.02,6.8,8.02,1.2199999999999998,0.8557510375976562,
-dxfTGcXJoc$_$0,19,1,and,8.02,8.34,8.02,8.34,0.3200000000000003,0.9864315390586853,
-dxfTGcXJoc$_$0,20,1,life,8.34,8.64,8.34,8.64,0.3000000000000007,0.6528123617172241,
-dxfTGcXJoc$_$0,21,1,science,8.64,9.02,8.64,9.02,0.379999999999999,0.8795809149742126,
-dxfTGcXJoc$_$0,22,1,companies,9.02,9.4,9.02,9.4,0.3800000000000008,0.9983813762664795,
-dxfTGcXJoc$_$0,23,1,and,10.0,10.16,10.0,10.16,0.16000000000000014,0.9917646050453186,
-dxfTGcXJoc$_$0,24,1,more,10.16,10.34,10.16,10.34,0.17999999999999972,0.9931706190109253,
-dxfTGcXJoc$_$0,25,1,than,10.34,10.54,10.34,10.54,0.1999999999999993,0.9965946078300476,
-dxfTGcXJoc$_$0,26,1,100,10.54,10.98,10.54,10.98,0.4400000000000013,0.8712180256843567,
-dxfTGcXJoc$_$0,27,1,000,10.98,11.46,10.98,11.46,0.4800000000000004,0.9836651086807251,
-dxfTGcXJoc$_$0,28,1,people,11.46,11.82,11.46,11.82,0.35999999999999943,0.9887214303016663,
-dxfTGcXJoc$_$0,29,1,who,11.82,12.18,11.82,12.18,0.35999999999999943,0.9814481139183044,
-dxfTGcXJoc$_$0,30,1,work,12.18,12.38,12.18,12.38,0.20000000000000107,0.9919928312301636,
-dxfTGcXJoc$_$0,31,1,for,12.38,12.58,12.38,12.58,0.1999999999999993,0.9957148432731628,
-dxfTGcXJoc$_$0,32,1,these,12.58,12.78,12.58,12.78,0.1999999999999993,0.9928154945373535,
-dxfTGcXJoc$_$0,33,1,firms,12.78,13.08,12.78,13.08,0.3000000000000007,0.9901584982872009,
-dxfTGcXJoc$_$0,34,1,in,13.8,14.02,13.8,14.02,0.21999999999999886,0.9890087246894836,
-dxfTGcXJoc$_$0,35,1,areas,14.02,14.44,14.02,14.44,0.41999999999999993,0.993313729763031,
-dxfTGcXJoc$_$0,36,1,from,14.44,14.9,14.44,14.9,0.46000000000000085,0.9869270920753479,
-dxfTGcXJoc$_$0,37,1,nutrigenomics,14.9,16.0,14.9,16.0,1.0999999999999996,0.823793962597847,
-dxfTGcXJoc$_$0,38,1,and,16.0,16.36,16.0,16.36,0.35999999999999943,0.9717255234718323,
-dxfTGcXJoc$_$0,39,1,pharmaceuticals,16.36,17.46,16.36,17.46,1.1000000000000014,0.9965240955352783,
-dxfTGcXJoc$_$0,40,1,to,17.46,17.74,17.46,17.74,0.2799999999999976,0.5810564756393433,
-dxfTGcXJoc$_$0,41,1,nanotechnology,17.74,18.52,17.74,18.52,0.7800000000000011,0.978647917509079,
-dxfTGcXJoc$_$0,42,1,and,18.52,18.9,18.52,18.9,0.379999999999999,0.9950062036514282,
-dxfTGcXJoc$_$0,43,1,medical,18.9,19.2,18.9,19.2,0.3000000000000007,0.9990587830543518,
-dxfTGcXJoc$_$0,44,1,devices,19.2,19.7,19.2,19.7,0.5,0.9967724680900574,
-dxfTGcXJoc$_$0,45,1,For,19.7,20.02,19.7,20.02,0.3200000000000003,0.0011286749504506588,
-dxfTGcXJoc$_$0,46,1,more,20.02,20.02,20.02,20.02,0.0,0.29283714294433594,nonpositive_duration
